H1	H2	H3	Angle
3az2G_2	3az2H_14	3az2H_3	 74.037 
3az2G_2	3az2G_13	3az2H_9	 63.811 
3az2G_2	3az2G_13	3az2G_2	 0.000 
3az2G_2	3az2G_13	3az2G_5	 61.677 
3az2G_2	3az2G_13	3az2H_6	 64.400 
3az2G_2	3az2G_13	3az2H_14	 72.895 
3az2G_2	3az2G_13	3az2G_13	 90.000 
3az2G_2	3az2G_13	3az2H_1	 43.382 
3az2G_2	3az2G_13	3az2H_11	 59.550 
3az2G_2	3az2G_13	3az2G_7	 27.762 
3az2G_2	3az2G_13	3az2H_12	 74.616 
3az2G_2	3az2G_13	3az2H_10	 50.310 
3az2G_2	3az2G_13	3az2H_4	 37.079 
3az2G_2	3az2G_13	3az2H_8	 61.848 
3az2G_2	3az2G_13	3az2H_3	 97.977 
3az2G_2	3az2H_1	3az2H_9	 53.447 
3az2G_2	3az2H_1	3az2G_2	 0.000 
3az2G_2	3az2H_1	3az2G_5	 85.043 
3az2G_2	3az2H_1	3az2H_6	 54.277 
3az2G_2	3az2H_1	3az2H_14	 40.996 
3az2G_2	3az2H_1	3az2G_13	 28.844 
3az2G_2	3az2H_1	3az2H_1	 90.000 
3az2G_2	3az2H_1	3az2H_11	 115.881 
3az2G_2	3az2H_1	3az2G_7	 17.797 
3az2G_2	3az2H_1	3az2H_12	 59.977 
3az2G_2	3az2H_1	3az2H_10	 66.041 
3az2G_2	3az2H_1	3az2H_4	 23.791 
3az2G_2	3az2H_1	3az2H_8	 33.396 
3az2G_2	3az2H_1	3az2H_3	 31.919 
3az2G_2	3az2H_11	3az2H_9	 45.573 
3az2G_2	3az2H_11	3az2G_2	 0.000 
3az2G_2	3az2H_11	3az2G_5	 58.255 
3az2G_2	3az2H_11	3az2H_6	 34.891 
3az2G_2	3az2H_11	3az2H_14	 33.959 
3az2G_2	3az2H_11	3az2G_13	 28.395 
3az2G_2	3az2H_11	3az2H_1	 44.960 
3az2G_2	3az2H_11	3az2H_11	 90.000 
3az2G_2	3az2H_11	3az2G_7	 15.692 
3az2G_2	3az2H_11	3az2H_12	 49.519 
3az2G_2	3az2H_11	3az2H_10	 14.445 
3az2G_2	3az2H_11	3az2H_4	 14.278 
3az2G_2	3az2H_11	3az2H_8	 31.428 
3az2G_2	3az2H_11	3az2H_3	 34.517 
3az2G_2	3az2G_7	3az2H_9	 96.613 
3az2G_2	3az2G_7	3az2G_2	 0.000 
3az2G_2	3az2G_7	3az2G_5	 40.698 
3az2G_2	3az2G_7	3az2H_6	 52.148 
3az2G_2	3az2G_7	3az2H_14	 46.275 
3az2G_2	3az2G_7	3az2G_13	 59.194 
3az2G_2	3az2G_7	3az2H_1	 53.358 
3az2G_2	3az2G_7	3az2H_11	 64.699 
3az2G_2	3az2G_7	3az2G_7	 90.000 
3az2G_2	3az2G_7	3az2H_12	 76.967 
3az2G_2	3az2G_7	3az2H_10	 64.156 
3az2G_2	3az2G_7	3az2H_4	 37.355 
3az2G_2	3az2G_7	3az2H_8	 101.963 
3az2G_2	3az2G_7	3az2H_3	 95.378 
3az2G_2	3az2H_12	3az2H_9	 69.746 
3az2G_2	3az2H_12	3az2G_2	 0.000 
3az2G_2	3az2H_12	3az2G_5	 71.273 
3az2G_2	3az2H_12	3az2H_6	 56.941 
3az2G_2	3az2H_12	3az2H_14	 47.191 
3az2G_2	3az2H_12	3az2G_13	 44.297 
3az2G_2	3az2H_12	3az2H_1	 63.240 
3az2G_2	3az2H_12	3az2H_11	 92.853 
3az2G_2	3az2H_12	3az2G_7	 22.501 
3az2G_2	3az2H_12	3az2H_12	 90.000 
3az2G_2	3az2H_12	3az2H_10	 66.818 
3az2G_2	3az2H_12	3az2H_4	 19.373 
3az2G_2	3az2H_12	3az2H_8	 45.952 
3az2G_2	3az2H_12	3az2H_3	 59.089 
3az2G_2	3az2H_10	3az2H_9	 68.144 
3az2G_2	3az2H_10	3az2G_2	 0.000 
3az2G_2	3az2H_10	3az2G_5	 89.244 
3az2G_2	3az2H_10	3az2H_6	 63.214 
3az2G_2	3az2H_10	3az2H_14	 47.416 
3az2G_2	3az2H_10	3az2G_13	 36.232 
3az2G_2	3az2H_10	3az2H_1	 92.086 
3az2G_2	3az2H_10	3az2H_11	 159.675 
3az2G_2	3az2H_10	3az2G_7	 22.018 
